Suit,Number,Tactic,Description
Define the Problem,1,Talk to Real People,"Get out of your office to observe and listen to prospective, current, and former users--ideally in their natural environments. Ground your ideas for change in their real-life experiences."
Define the Problem,2,Be Your Own Customer,"Experience your organization's product or service the way customers or constituents do. You'll uncover customer service gaps, confusing instructions, and opportunities for new products, services, or features."
Define the Problem,3,Look Between the Silos,"The Achilles' heel of an organization is the space between the silos--i.e., between business units, academic departments, or government agencies--where broken handoffs or miscommunications can lead to poor customer experiences or wasteful repetition. Few people are paying attention or defending the status quo in these gray areas, making them ripe for quicker and more well-received changes."
Define the Problem,4,Play the Newbie Card,"Use your newness in an organization or a role to your advantage. Don't be afraid to ask questions about how things work in your institution, which can uncover significant opportunities that your longer-tenured colleagues can't see."
Define the Problem,5,Remember Employee Needs,Spend time in the field shadowing frontline employees to gather insights about what's really working--and what isn't. Prioritize improving internal processes just as you would end use improvements; use those internal improvements to gain buy-in for other changes you need employees to make that benefit external users.
Define the Problem,6,Beware of Red Teams and Problem Lists,"Avoid the temptation to make and share a laundry list of problems. You might gain some short-term attention for your insights, but you'll alienate too many people in the process. Worse, if you incorrectly characterize a problem, you might find yourself on the hook for having to solve it. Instead, focus your efforts on creating and testing solutions to problems."
Learn Your Org,1,Figure Out the Real Org Chart,"Relationships, knowledge, and power aren't captured by traditional org charts. Making your own map of who knows what, who controls what resources, and who is in cahoots with whom can help you strategically map out who to include, in what order, on your schemes."
Learn Your Org,2,Understand Incentives and Risks,"Everyone in your organization operates within a framework of incentives and risks. If you want a coworker to do something differently, you need to undesrtand what's stopping them from making that change today. Where possible, change their incentives to make doing what you want them to do the lowest-risk, highest-reward path."
Learn Your Org,3,Know the Consequences,"Know the consequences for breaking rules or not following existing processes. On one extreme is breaking the law and facing fines or imprisonment; on the other hand, if the worst that can happen is that you don't meet a performance goal next quarter, it might be a risk you're willing and able to take."
Learn Your Org,4,Understand Why,"Getting to the root reason behind a particular practice is often the key to changing it. It's possible the original rule, policy, or law gives you much more flexibility than people think--and sometimes the original reason may not even apply anymore! Asking why repeatedly and tying current practices "
